epoch,train_loss,val_loss,val_iou,lr
1,0.40876,0.35091,0.9915,0.0001
2,0.32647,0.30310,0.9952,0.0001
3,0.28296,0.26206,0.9982,0.0001
4,0.24339,0.22187,0.9986,0.0001
5,0.20379,0.18541,0.9999,0.0001
6,0.16979,0.15452,1.0000,0.0001
7,0.14086,0.12783,1.0000,0.0001
8,0.11624,0.10549,1.0000,0.0001
9,0.09557,0.08634,1.0000,0.0001
10,0.07842,0.07110,1.0000,0.0001
11,0.06425,0.05820,1.0000,5e-05
12,0.05494,0.05215,1.0000,5e-05
13,0.04956,0.04700,1.0000,5e-05
14,0.04456,0.04215,1.0000,5e-05
15,0.03996,0.03778,1.0000,5e-05
16,0.03575,0.03378,1.0000,5e-05
17,0.03192,0.03014,1.0000,2.5e-05
18,0.02926,0.02841,1.0000,2.5e-05
19,0.02755,0.02671,1.0000,2.5e-05
20,0.02587,0.02504,1.0000,2.5e-05
21,0.02425,0.02345,1.0000,2.5e-05
22,0.02269,0.02192,1.0000,2.5e-05
23,0.02120,0.02047,1.0000,1.25e-05
24,0.02012,0.01977,1.0000,1.25e-05
25,0.01941,0.01905,1.0000,1.25e-05
26,0.01870,0.01835,1.0000,1.25e-05
27,0.01800,0.01764,1.0000,1.25e-05
28,0.01728,0.01710,1.0000,1.25e-05
29,0.01508,0.01418,1.0000,6.25e-06
30,0.01379,0.01362,1.0000,6.25e-06
